experiment_id,group,workload,variant,downstream_capability,failure_scenario,failure_probability,concurrency,duplicate_fanout,operations,warmup_operations,seed,client_timeout_ms,downstream_timeout_ms,config_path
CREATEORDER_V0_C0_F0_P0_C1_S7000,group_a_baseline,create_order,V0,C0,F0,0.0,1,,10000,1000,7000,2000,2000,configs/phase6/group_a_baseline/CREATEORDER_V0_C0_F0_P0_C1_S7000.yaml
CREATEORDER_V0_C0_F0_P0_C10_S7000,group_a_baseline,create_order,V0,C0,F0,0.0,10,,10000,1000,7000,2000,2000,configs/phase6/group_a_baseline/CREATEORDER_V0_C0_F0_P0_C10_S7000.yaml
CREATEORDER_V0_C0_F0_P0_C50_S7000,group_a_baseline,create_order,V0,C0,F0,0.0,50,,10000,1000,7000,2000,2000,configs/phase6/group_a_baseline/CREATEORDER_V0_C0_F0_P0_C50_S7000.yaml
CREATEORDER_V0_C0_F0_P0_C100_S7000,group_a_baseline,create_order,V0,C0,F0,0.0,100,,10000,1000,7000,2000,2000,configs/phase6/group_a_baseline/CREATEORDER_V0_C0_F0_P0_C100_S7000.yaml
CREATEORDER_V1_C1_F0_P0_C1_S7000,group_a_baseline,create_order,V1,C1,F0,0.0,1,,10000,1000,7000,2000,2000,configs/phase6/group_a_baseline/CREATEORDER_V1_C1_F0_P0_C1_S7000.yaml
CREATEORDER_V1_C1_F0_P0_C10_S7000,group_a_baseline,create_order,V1,C1,F0,0.0,10,,10000,1000,7000,2000,2000,configs/phase6/group_a_baseline/CREATEORDER_V1_C1_F0_P0_C10_S7000.yaml
CREATEORDER_V1_C1_F0_P0_C50_S7000,group_a_baseline,create_order,V1,C1,F0,0.0,50,,10000,1000,7000,2000,2000,configs/phase6/group_a_baseline/CREATEORDER_V1_C1_F0_P0_C50_S7000.yaml
CREATEORDER_V1_C1_F0_P0_C100_S7000,group_a_baseline,create_order,V1,C1,F0,0.0,100,,10000,1000,7000,2000,2000,configs/phase6/group_a_baseline/CREATEORDER_V1_C1_F0_P0_C100_S7000.yaml
CREATEORDER_V2_C1_F0_P0_C1_S7000,group_a_baseline,create_order,V2,C1,F0,0.0,1,,10000,1000,7000,2000,2000,configs/phase6/group_a_baseline/CREATEORDER_V2_C1_F0_P0_C1_S7000.yaml
CREATEORDER_V2_C1_F0_P0_C10_S7000,group_a_baseline,create_order,V2,C1,F0,0.0,10,,10000,1000,7000,2000,2000,configs/phase6/group_a_baseline/CREATEORDER_V2_C1_F0_P0_C10_S7000.yaml
