experiment_id,run_dir,DER_delta,EOER_delta,LER_delta,RSR_delta,RAF_delta,DAF_delta,RRR_delta,UAR_delta,P50_delta,P95_delta,P99_delta,throughput_recomputed_from_event_span,throughput_summary,logical_operations_delta,PASS_FAIL
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7000,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7000/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7000_1788684795088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.6228739214843,706.3923911592894,0,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7001,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7001/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7001_1788684905882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.176032801878,935.377106834959,0,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7002,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7002/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7002_1788685038510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043.6542829497514,901.2730967261102,0,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7003,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7003/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7003_1788685166008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.9548700317528,893.8217568150781,0,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7004,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7004/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7004_1788685304674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.8520241116237,927.0448061945975,0,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7005,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7005/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7005_1788685435168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869.6476486257785,709.3738533127962,0,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7006,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7006/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7006_1788685546259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.2574951508248,929.1726253240957,0,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7007,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7007/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7007_1788685680090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059.273122592153,917.0853963708265,0,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7008,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7008/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7008_1788685807539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.2902354806172,869.3174949113688,0,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7009,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7009/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7009_1788685940608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.9456829124995,911.5195154701294,0,PASS
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7000,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7000/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7000_1788684809803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1204.988820760849,1048.5997507843554,0,PASS
