experiment_id,metric,observed_value,group_distribution_context,possible_infrastructure_note
SENDNOTIFICATION_V0_C0_F3_P10_C50_S7005,P95,80.726,"('group_f_generalization', 'F3', 'V0', 50);Q1=49.48800000000001;Q3=61.92699999999999;IQR=12.438999999999986",
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7000,P99,147.304,"('group_f_generalization', 'F3', 'V0', 50);Q1=70.69800000000001;Q3=84.766;IQR=14.067999999999998",
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7005,P99,152.84499999999997,"('group_f_generalization', 'F3', 'V0', 50);Q1=70.69800000000001;Q3=84.766;IQR=14.067999999999998",
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,P99,158.73000000000002,"('group_f_generalization', 'F3', 'V0', 50);Q1=70.69800000000001;Q3=84.766;IQR=14.067999999999998",
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7005,P99,170.572,"('group_f_generalization', 'F3', 'V0', 50);Q1=70.69800000000001;Q3=84.766;IQR=14.067999999999998",
SENDNOTIFICATION_V0_C0_F3_P10_C50_S7000,P99,175.52499999999998,"('group_f_generalization', 'F3', 'V0', 50);Q1=70.69800000000001;Q3=84.766;IQR=14.067999999999998",
SENDNOTIFICATION_V0_C0_F3_P10_C50_S7005,P99,190.57999999999998,"('group_f_generalization', 'F3', 'V0', 50);Q1=70.69800000000001;Q3=84.766;IQR=14.067999999999998",
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7005,throughput,869.6476486257785,"('group_f_generalization', 'F3', 'V0', 50);Q1=976.8087158930932;Q3=1039.0748296421064;IQR=62.26611374901313",
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,throughput,873.7871197197418,"('group_f_generalization', 'F3', 'V0', 50);Q1=976.8087158930932;Q3=1039.0748296421064;IQR=62.26611374901313",
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7005,throughput,835.8033311183692,"('group_f_generalization', 'F3', 'V0', 50);Q1=976.8087158930932;Q3=1039.0748296421064;IQR=62.26611374901313",
SENDNOTIFICATION_V0_C0_F3_P10_C50_S7000,throughput,868.4300800057246,"('group_f_generalization', 'F3', 'V0', 50);Q1=976.8087158930932;Q3=1039.0748296421064;IQR=62.26611374901313",
SENDNOTIFICATION_V0_C0_F3_P10_C50_S7005,throughput,813.6673480879291,"('group_f_generalization', 'F3', 'V0', 50);Q1=976.8087158930932;Q3=1039.0748296421064;IQR=62.26611374901313",
RESERVEINVENTORY_V2_C1_F8_P10_C50_S7002,P95,52.32299999999999,"('group_f_generalization', 'F8', 'V2', 50);Q1=20.077;Q3=22.256;IQR=2.1789999999999985",
SENDNOTIFICATION_V2_C1_F8_P10_C50_S7004,P95,33.869,"('group_f_generalization', 'F8', 'V2', 50);Q1=20.077;Q3=22.256;IQR=2.1789999999999985",
SENDNOTIFICATION_V2_C1_F8_P10_C50_S7005,P95,26.950000000000003,"('group_f_generalization', 'F8', 'V2', 50);Q1=20.077;Q3=22.256;IQR=2.1789999999999985",
RESERVEINVENTORY_V2_C1_F8_P10_C50_S7002,P99,76.587,"('group_f_generalization', 'F8', 'V2', 50);Q1=25.65;Q3=29.16;IQR=3.5100000000000016",
SENDNOTIFICATION_V2_C1_F8_P10_C50_S7004,P99,48.742999999999995,"('group_f_generalization', 'F8', 'V2', 50);Q1=25.65;Q3=29.16;IQR=3.5100000000000016",
SENDNOTIFICATION_V2_C1_F8_P10_C50_S7005,P99,35.787,"('group_f_generalization', 'F8', 'V2', 50);Q1=25.65;Q3=29.16;IQR=3.5100000000000016",
RESERVEINVENTORY_V2_C1_F8_P10_C50_S7002,throughput,602.784920299688,"('group_f_generalization', 'F8', 'V2', 50);Q1=688.2047208472161;Q3=721.9329947057781;IQR=33.728273858562034",
SENDNOTIFICATION_V2_C1_F8_P10_C50_S7004,throughput,625.3897779114682,"('group_f_generalization', 'F8', 'V2', 50);Q1=688.2047208472161;Q3=721.9329947057781;IQR=33.728273858562034",
SENDNOTIFICATION_V4_C1_F8_P10_C50_S7004,P95,49.461999999999996,"('group_f_generalization', 'F8', 'V4', 50);Q1=20.020999999999997;Q3=22.808999999999997;IQR=2.7880000000000003",
SENDNOTIFICATION_V4_C1_F8_P10_C50_S7004,P99,76.377,"('group_f_generalization', 'F8', 'V4', 50);Q1=25.112000000000002;Q3=29.906;IQR=4.793999999999997",
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7007,throughput,749.8816974832476,"('group_f_generalization', 'F8', 'V4', 50);Q1=685.8034136080481;Q3=705.6802503465726;IQR=19.876836738524503",
SENDNOTIFICATION_V4_C1_F8_P10_C50_S7004,throughput,589.4916409285217,"('group_f_generalization', 'F8', 'V4', 50);Q1=685.8034136080481;Q3=705.6802503465726;IQR=19.876836738524503",
SENDNOTIFICATION_V5_C2_F3_P10_C50_S7008,P95,110.429,"('group_f_generalization', 'F3', 'V5', 50);Q1=65.207;Q3=81.36;IQR=16.153000000000006",
SENDNOTIFICATION_V5_C2_F3_P10_C50_S7004,throughput,810.0356333838961,"('group_f_generalization', 'F3', 'V5', 50);Q1=1096.1168341359878;Q3=1253.331029650366;IQR=157.21419551437816",
SENDNOTIFICATION_V5_C2_F3_P10_C50_S7008,throughput,835.4874858563555,"('group_f_generalization', 'F3', 'V5', 50);Q1=1096.1168341359878;Q3=1253.331029650366;IQR=157.21419551437816",
