experiment_id,status,missing_files,malformed_files,usable_for_analysis
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7000,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7001,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7002,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7003,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7004,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7005,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7006,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7007,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7008,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7009,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7000,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7001,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7002,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7003,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7004,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7005,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7006,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7007,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7008,COMPLETE,,,True
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7009,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7000,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7001,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7002,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7003,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7004,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7005,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7006,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7007,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7008,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F3_P10_C50_S7009,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7000,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7001,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7002,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7003,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7004,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7005,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7006,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7007,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7008,COMPLETE,,,True
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7009,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7000,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7001,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7002,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7003,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7004,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7005,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7006,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7007,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7008,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7009,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7000,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7001,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7002,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7003,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7004,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7005,COMPLETE,,,True
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7006,COMPLETE,,,True
