variant,failure_probability,concurrency,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
V4,0.01,10,UAR,10,0.009940000000000001,0.0103,0.0011964763079792076,0.0089,0.0105,0.0016000000000000007,0.0076,0.0117,0.009198416301269897,0.010681583698730105
V4,0.01,10,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4,0.01,50,UAR,10,0.0099,0.009600000000000001,0.0009966610925150705,0.0089,0.0106,0.0017000000000000001,0.0089,0.0119,0.009282263054906596,0.010517736945093406
V4,0.01,50,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4,0.05,10,UAR,10,0.050870000000000005,0.051699999999999996,0.0026356740651639343,0.0488,0.053,0.004199999999999995,0.0457,0.0535,0.049236392289712404,0.05250360771028761
V4,0.05,10,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4,0.05,50,UAR,10,0.0501,0.05015,0.0027426669907632283,0.0482,0.0508,0.002599999999999998,0.0462,0.0549,0.04840007738738233,0.05179992261261767
V4,0.05,50,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4,0.1,10,UAR,10,0.09954,0.09905,0.0029807530741221893,0.0963,0.102,0.005699999999999997,0.096,0.1035,0.09769251010407214,0.10138748989592787
V4,0.1,10,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4,0.1,50,UAR,70,0.10012142857142858,0.1002,0.0028728056708312607,0.098,0.1021,0.0040999999999999925,0.093,0.1062,0.0994484313041688,0.10079442583868836
V4,0.1,50,RSR,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4,0.2,10,UAR,10,0.20052999999999996,0.20095,0.004534325871737834,0.1984,0.2044,0.006000000000000005,0.1912,0.2067,0.19771959570800843,0.2033404042919915
V4,0.2,10,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4,0.2,50,UAR,10,0.19968999999999998,0.19905,0.0024214091397825,0.198,0.2014,0.0033999999999999864,0.1966,0.2043,0.19818919506634308,0.20119080493365687
V4,0.2,50,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V5,0.01,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V5,0.01,10,RSR,10,0.01048,0.0106,0.0011612254063894933,0.0096,0.0113,0.0017000000000000001,0.0085,0.0121,0.009760265036435093,0.011199734963564906
V5,0.01,50,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V5,0.01,50,RSR,10,0.009989999999999999,0.00975,0.0011298475806742943,0.0095,0.0102,0.000700000000000001,0.0086,0.0125,0.009289713214302723,0.010690286785697275
V5,0.05,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V5,0.05,10,RSR,10,0.05073,0.0504,0.0020155230917390495,0.0498,0.0522,0.0024000000000000063,0.0469,0.0541,0.049480765845274256,0.05197923415472574
V5,0.05,50,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V5,0.05,50,RSR,10,0.04914,0.05035,0.0028488594208911045,0.0478,0.0508,0.0029999999999999957,0.0428,0.0525,0.04737425863728575,0.05090574136271426
V5,0.1,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V5,0.1,10,RSR,10,0.09913,0.10055,0.0029825604212935356,0.0962,0.101,0.004800000000000013,0.0948,0.1036,0.09728138989868965,0.10097861010131035
V5,0.1,50,UAR,70,0.02838857142857143,0.0,0.045236046108107456,0.0,0.0964,0.0964,0.0,0.1054,0.017791357798181792,0.03898578505896107
V5,0.1,50,RSR,70,0.07146285714285713,0.09825,0.04560490429840033,0.0,0.1012,0.1012,0.0,0.1072,0.060779233019549725,0.08214648126616454
V5,0.2,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V5,0.2,10,RSR,10,0.19939,0.20015,0.005688282302730373,0.1987,0.2013,0.002600000000000019,0.1898,0.2108,0.19586436610207156,0.20291563389792847
V5,0.2,50,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V5,0.2,50,RSR,10,0.20029,0.2,0.004013712606663424,0.199,0.2037,0.004699999999999982,0.1919,0.2066,0.19780227515276397,0.20277772484723602
