workload,failure_scenario,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
charge_payment,F3,V0,DER,10,0.09977,0.09965,0.002138561302475204,0.098,0.1012,0.0031999999999999945,0.0965,0.1033,0.09844450597218328,0.10109549402781672
charge_payment,F3,V0,EOER,10,0.90023,0.90035,0.002138561302475192,0.8988,0.902,0.0031999999999999806,0.8967,0.9035,0.8989045059721833,0.9015554940278167
charge_payment,F3,V0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge_payment,F3,V0,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge_payment,F3,V0,RAF,10,1.3990799999999997,1.3986,0.008554245209900871,1.392,1.4048,0.012800000000000145,1.386,1.4132,1.3937780238887327,1.4043819761112666
charge_payment,F3,V0,DAF,10,1.3990799999999997,1.3986,0.008554245209900871,1.392,1.4048,0.012800000000000145,1.386,1.4132,1.3937780238887327,1.4043819761112666
charge_payment,F3,V0,P95,10,52.8418,48.823,8.56449715459764,47.135999999999996,53.306,6.170000000000002,46.204,70.88,47.53346966757829,58.15013033242171
charge_payment,F3,V0,throughput,10,1018.5674268578363,1049.2999829311254,71.41159960790519,1009.2902354806172,1059.273122592153,49.982887111535774,869.6476486257785,1085.8520241116237,974.3060588589107,1062.828794856762
charge_payment,F3,V2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge_payment,F3,V2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
charge_payment,F3,V2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge_payment,F3,V2,UAR,10,0.09960999999999999,0.1,0.003258987572851423,0.0973,0.1027,0.005400000000000002,0.0938,0.1032,0.09759005857510668,0.1016299414248933
charge_payment,F3,V2,RAF,10,1.39844,1.4,0.013035950291405708,1.3892,1.4108,0.021600000000000064,1.3752,1.4128,1.3903602343004267,1.4065197656995732
charge_payment,F3,V2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
charge_payment,F3,V2,P95,10,57.0437,56.771,9.311976780827296,52.157,60.022000000000006,7.865000000000009,42.232,73.715,51.27207699538071,62.815323004619295
charge_payment,F3,V2,throughput,10,928.7662665663211,951.855922841884,67.0892811617285,917.7326129297096,970.3191986919546,52.58658576224502,799.926856053392,991.8570512661648,887.1838992956411,970.348633837001
charge_payment,F3,V4,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge_payment,F3,V4,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
charge_payment,F3,V4,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge_payment,F3,V4,UAR,10,0.10010000000000001,0.10005,0.002840578970718626,0.0983,0.1016,0.0032999999999999974,0.0948,0.105,0.09833939091347468,0.10186060908652533
charge_payment,F3,V4,RAF,10,1.4003999999999999,1.4002,0.011362315882874511,1.3932,1.4064,0.0132000000000001,1.3792,1.42,1.3933575636538986,1.4074424363461011
charge_payment,F3,V4,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
charge_payment,F3,V4,P95,10,58.04639999999999,47.6485,23.339523322753045,40.373,75.291,34.918,38.837999999999994,100.472,43.580413572305915,72.51238642769407
charge_payment,F3,V4,throughput,10,920.696300811949,977.4454943501657,133.61247733743406,811.9030058771981,1022.8249499305681,210.92194405337,660.1410405420143,1049.0145930013339,837.8824293799803,1003.5101722439176
charge_payment,F3,V5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge_payment,F3,V5,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
