hypothesis,comparison,metric,effect,CI,p_raw,p_adjusted,consistency_across_seeds,evidence_direction
H1,V0 vs V2,DER,-0.09956,-0.10079312231708329..-0.0983268776829167,0.0,0.0,reported in seed_robustness.csv,CONSISTENT_WITH_HYPOTHESIS
H1,V0 vs V2,DER,-0.09892,-0.10035519355876171..-0.09748480644123828,0.0,0.0,reported in seed_robustness.csv,CONSISTENT_WITH_HYPOTHESIS
H2,V2 vs V4,DER,0.0,0.0..0.0,1.0,1.0,reported in seed_robustness.csv,NOT_CONSISTENT
H2,V2 vs V5,DER,0.0,0.0..0.0,1.0,1.0,reported in seed_robustness.csv,NOT_CONSISTENT
H2,V2 vs V4,DER,0.0,0.0..0.0,1.0,1.0,reported in seed_robustness.csv,NOT_CONSISTENT
H2,V2 vs V5,DER,0.0,0.0..0.0,1.0,1.0,reported in seed_robustness.csv,NOT_CONSISTENT
H3,V4 vs V5 under F8,UAR,-0.10001,-0.10219186924549672..-0.09782813075450328,0.0,0.0,reported in seed_robustness.csv,MIXED
H3,V4 vs V5 under F9,UAR,0.0,0.0..0.0,1.0,1.0,reported in seed_robustness.csv,MIXED
H4,V0 vs V2 F0 C50,P95,6.735999999999997,-3.7770290200474186..17.249029020047413,0.012611144099313954,0.10088915279451163,reported in seed_robustness.csv,MIXED
H4,V0 vs V3 F0 C50,P95,-2.235500000000002,-12.432115064407034..7.96111506440703,0.8798291600118298,1.0,reported in seed_robustness.csv,MIXED
H4,V0 vs V4 F0 C50,P95,2.963799999999999,-7.677108937334255..13.604708937334253,0.02334220201289084,0.1633954140902359,reported in seed_robustness.csv,MIXED
H4,V0 vs V5 F0 C50,P95,-0.26550000000000296,-13.322453670206336..12.79145367020633,0.11241058465536365,0.5620529232768182,reported in seed_robustness.csv,MIXED
H4,V0 vs V2 F0 C100,P95,9.1528,-28.944542196634956..47.250142196634954,0.364346126633553,1.0,reported in seed_robustness.csv,MIXED
H4,V0 vs V3 F0 C100,P95,-23.165099999999995,-66.4048390518864..20.074639051886408,0.5205228832757727,1.0,reported in seed_robustness.csv,MIXED
H4,V0 vs V4 F0 C100,P95,14.368499999999997,-14.563169825312258..43.30016982531225,0.08209870865427454,0.49259225192564726,reported in seed_robustness.csv,MIXED
H4,V0 vs V5 F0 C100,P95,10.917900000000003,-23.457897952297827..45.29369795229783,0.11241058465536365,0.5620529232768182,reported in seed_robustness.csv,MIXED
H5,V0 vs V5 under F6 fanout 10,DAF,-9.00024,-9.000710399999999..-8.9997696,0.00015705228423075167,0.00047115685269225505,reported in seed_robustness.csv,CONSISTENT_WITH_HYPOTHESIS
H5,V0 vs V5 under F11 fanout 10,DAF,-10.0,-10.0..-10.0,0.00015705228423075167,0.00047115685269225505,reported in seed_robustness.csv,CONSISTENT_WITH_HYPOTHESIS
