group,workload,failure_scenario,variant,downstream_capability,failure_probability,concurrency,fanout,runs,logical_operations,zero_effects,exactly_one_effect,more_than_one_effect,unresolved_UNKNOWN,reconciled,replayed
group_f_generalization,charge_payment,F3,V2,C1,0.1,50,0,10,100000,0,100000,0,9961,0,0
group_f_generalization,charge_payment,F8,V2,C1,0.1,50,0,10,100000,0,100000,0,9767,0,0
group_f_generalization,charge_payment,F3,V4,C1,0.1,50,0,10,100000,0,100000,0,10010,0,0
group_f_generalization,charge_payment,F8,V4,C1,0.1,50,0,10,100000,0,100000,0,10078,0,0
group_f_generalization,charge_payment,F3,V5,C2,0.1,50,0,10,100000,0,100000,0,0,9857,9857
group_f_generalization,charge_payment,F8,V5,C2,0.1,50,0,10,100000,0,100000,0,0,9955,9955
group_d_capability,create_order,F3,V2,C0,0.1,50,0,10,100000,0,100000,0,9869,0,0
group_d_capability,create_order,F8,V2,C0,0.1,50,0,10,100000,0,100000,0,9939,0,0
group_c_duplicates,create_order,F11,V2,C1,0.0,50,10,10,100000,0,100000,0,0,0,100000
group_c_duplicates,create_order,F11,V2,C1,0.0,50,2,10,100000,0,100000,0,0,0,100000
group_c_duplicates,create_order,F11,V2,C1,0.0,50,5,10,100000,0,100000,0,0,0,100000
group_e_safe_controls,create_order,F1,V2,C1,0.1,50,0,10,100000,18922,81078,0,0,0,0
group_e_safe_controls,create_order,F2,V2,C1,0.1,50,0,10,100000,9936,90064,0,0,0,0
group_b_ambiguous,create_order,F3,V2,C1,0.1,10,0,10,100000,0,100000,0,9977,0,0
group_d_capability,create_order,F3,V2,C1,0.1,50,0,10,100000,0,100000,0,9950,0,0
group_b_ambiguous,create_order,F3,V2,C1,0.1,50,0,10,100000,0,100000,0,10259,0,0
group_b_ambiguous,create_order,F3,V2,C1,0.01,10,0,10,100000,0,100000,0,1036,0,0
group_b_ambiguous,create_order,F3,V2,C1,0.01,50,0,10,100000,0,100000,0,1005,0,0
group_b_ambiguous,create_order,F3,V2,C1,0.2,10,0,10,100000,0,100000,0,19946,0,0
group_b_ambiguous,create_order,F3,V2,C1,0.2,50,0,10,100000,0,100000,0,20204,0,0
group_b_ambiguous,create_order,F3,V2,C1,0.05,10,0,10,100000,0,100000,0,5150,0,0
group_b_ambiguous,create_order,F3,V2,C1,0.05,50,0,10,100000,0,100000,0,5063,0,0
group_b_ambiguous,create_order,F4,V2,C1,0.1,10,0,10,100000,0,100000,0,0,0,10156
group_b_ambiguous,create_order,F4,V2,C1,0.1,50,0,10,100000,0,100000,0,0,0,10067
group_b_ambiguous,create_order,F4,V2,C1,0.01,10,0,10,100000,0,100000,0,0,0,1015
group_b_ambiguous,create_order,F4,V2,C1,0.01,50,0,10,100000,0,100000,0,0,0,1009
group_b_ambiguous,create_order,F4,V2,C1,0.2,10,0,10,100000,0,100000,0,0,0,20087
group_b_ambiguous,create_order,F4,V2,C1,0.2,50,0,10,100000,0,100000,0,0,0,20004
group_b_ambiguous,create_order,F4,V2,C1,0.05,10,0,10,100000,0,100000,0,0,0,5002
group_b_ambiguous,create_order,F4,V2,C1,0.05,50,0,10,100000,0,100000,0,0,0,4872
group_c_duplicates,create_order,F5,V2,C1,0.0,50,10,10,100000,0,100000,0,0,0,100000
