failure,variant,concurrency,probability,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,V0,10,0.01,DER,10,0.010299999999999998,0.0103,0.0007916228058025275,0.0099,0.011,0.0010999999999999985,0.0088,0.0116,0.009809347101642446,0.010790652898357551
F3,V0,10,0.01,EOER,10,0.9896999999999998,0.9897,0.0007916228058025263,0.989,0.9901,0.0010999999999999899,0.9884,0.9912,0.9892093471016422,0.9901906528983574
F3,V0,10,0.01,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,10,0.01,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,10,0.01,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,10,0.01,RAF,10,1.0412000000000001,1.0412,0.0031664912232101396,1.0396,1.044,0.0043999999999999595,1.0352,1.0464,1.03923738840657,1.0431626115934303
F3,V0,10,0.01,DAF,10,1.0412000000000001,1.0412,0.0031664912232101396,1.0396,1.044,0.0043999999999999595,1.0352,1.0464,1.03923738840657,1.0431626115934303
F3,V0,10,0.05,DER,10,0.049960000000000004,0.04935,0.002297921766389022,0.0486,0.0526,0.0040000000000000036,0.0471,0.0533,0.04853573333333334,0.05138426666666667
F3,V0,10,0.05,EOER,10,0.9500400000000001,0.95065,0.0022979217663890257,0.9474,0.9514,0.0040000000000000036,0.9467,0.9529,0.9486157333333335,0.9514642666666667
F3,V0,10,0.05,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,10,0.05,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,10,0.05,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,10,0.05,RAF,10,1.19984,1.1974,0.009191687065556118,1.1944,1.2104,0.016000000000000014,1.1884,1.2132,1.1941429333333333,1.2055370666666667
F3,V0,10,0.05,DAF,10,1.19984,1.1974,0.009191687065556118,1.1944,1.2104,0.016000000000000014,1.1884,1.2132,1.1941429333333333,1.2055370666666667
F3,V0,10,0.1,DER,10,0.10056000000000001,0.10065,0.003203886528716162,0.0988,0.1018,0.0030000000000000027,0.0951,0.1063,0.0985742105560872,0.10254578944391282
F3,V0,10,0.1,EOER,10,0.89944,0.89935,0.0032038865287161537,0.8982,0.9012,0.0030000000000000027,0.8937,0.9049,0.8974542105560872,0.9014257894439128
F3,V0,10,0.1,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,10,0.1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,10,0.1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,10,0.1,RAF,10,1.4022400000000002,1.4026,0.01281554611486464,1.3952,1.4072,0.01200000000000001,1.3804,1.4252,1.394296842224349,1.4101831577756514
F3,V0,10,0.1,DAF,10,1.4022400000000002,1.4026,0.01281554611486464,1.3952,1.4072,0.01200000000000001,1.3804,1.4252,1.394296842224349,1.4101831577756514
F3,V0,10,0.2,DER,10,0.20104000000000002,0.2002,0.003370855479943735,0.1987,0.2028,0.00410000000000002,0.1969,0.2078,0.1989507221279431,0.20312927787205695
F3,V0,10,0.2,EOER,10,0.79896,0.7998000000000001,0.003370855479943727,0.7972,0.8013,0.0040999999999999925,0.7922,0.8031,0.7968707221279431,0.8010492778720569
F3,V0,10,0.2,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,10,0.2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,10,0.2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,10,0.2,RAF,10,1.80416,1.8008000000000002,0.013483421919774877,1.7948,1.8112,0.01639999999999997,1.7876,1.8312,1.7958028885117723,1.8125171114882277
F3,V0,10,0.2,DAF,10,1.80416,1.8008000000000002,0.013483421919774877,1.7948,1.8112,0.01639999999999997,1.7876,1.8312,1.7958028885117723,1.8125171114882277
F3,V0,50,0.01,DER,10,0.00946,0.00945,0.00040331955899344465,0.0091,0.0097,0.0005999999999999998,0.0089,0.0101,0.00921001994746247,0.00970998005253753
F3,V0,50,0.01,EOER,10,0.99054,0.99055,0.0004033195589934479,0.9903,0.9909,0.0006000000000000449,0.9899,0.9911,0.9902900199474625,0.9907899800525375
F3,V0,50,0.01,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.01,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.01,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.01,RAF,10,1.03784,1.0378,0.0016132782359737673,1.0364,1.0388,0.0023999999999999577,1.0356,1.0404,1.03684007978985,1.0388399202101501
F3,V0,50,0.01,DAF,10,1.03784,1.0378,0.0016132782359737673,1.0364,1.0388,0.0023999999999999577,1.0356,1.0404,1.03684007978985,1.0388399202101501
F3,V0,50,0.05,DER,10,0.04938,0.0493,0.002195348618227992,0.0472,0.0513,0.0040999999999999995,0.0469,0.0527,0.04801930882922604,0.05074069117077396
F3,V0,50,0.05,EOER,10,0.9506199999999998,0.9507,0.0021953486182279794,0.9487,0.9528,0.0040999999999999925,0.9473,0.9531,0.9492593088292258,0.9519806911707738
F3,V0,50,0.05,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.05,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.05,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.05,RAF,10,1.19752,1.1972,0.008781394472911984,1.1888,1.2052,0.01639999999999997,1.1876,1.2108,1.192077235316904,1.2029627646830958
F3,V0,50,0.05,DAF,10,1.19752,1.1972,0.008781394472911984,1.1888,1.2052,0.01639999999999997,1.1876,1.2108,1.192077235316904,1.2029627646830958
F3,V0,50,0.1,DER,10,0.09956,0.09914999999999999,0.0019895281405957078,0.0983,0.1012,0.0029,0.0964,0.103,0.0983268776829167,0.10079312231708329
F3,V0,50,0.1,EOER,10,0.90044,0.90085,0.001989528140595691,0.8988,0.9017,0.0028999999999999027,0.897,0.9036,0.8992068776829167,0.9016731223170833
F3,V0,50,0.1,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.1,RAF,10,1.3982400000000001,1.3966,0.007958112562382843,1.3932,1.4048,0.011600000000000055,1.3856,1.412,1.393307510731667,1.4031724892683333
F3,V0,50,0.1,DAF,10,1.3982400000000001,1.3966,0.007958112562382843,1.3932,1.4048,0.011600000000000055,1.3856,1.412,1.393307510731667,1.4031724892683333
F3,V0,50,0.2,DER,10,0.19939,0.1989,0.0035174011871140173,0.1966,0.2023,0.005700000000000011,0.195,0.2054,0.19720989215761137,0.20157010784238866
F3,V0,50,0.2,EOER,10,0.80061,0.8010999999999999,0.0035174011871140346,0.7977,0.8034,0.005700000000000038,0.7946,0.805,0.7984298921576114,0.8027901078423887
F3,V0,50,0.2,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V0,50,0.2,RAF,10,1.79756,1.7956,0.014069604748456109,1.7864,1.8092,0.02279999999999993,1.78,1.8216,1.7888395686304455,1.8062804313695546
F3,V0,50,0.2,DAF,10,1.79756,1.7956,0.014069604748456109,1.7864,1.8092,0.02279999999999993,1.78,1.8216,1.7888395686304455,1.8062804313695546
F3,V1,10,0.01,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.01,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V1,10,0.01,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.01,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.01,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.01,RAF,10,1.03908,1.0394,0.004549187961725827,1.0372,1.0428,0.005600000000000049,1.0304,1.0448,1.0362603840891986,1.0418996159108014
F3,V1,10,0.01,DAF,10,1.03908,1.0394,0.004549187961725827,1.0372,1.0428,0.005600000000000049,1.0304,1.0448,1.0362603840891986,1.0418996159108014
F3,V1,10,0.05,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,10,0.05,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
