group,workload,failure_scenario,variant,downstream_capability,failure_probability,concurrency,duplicate_fanout,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
group_a_baseline,create_order,F0,V0,C0,0.0,1,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,1,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V0,C0,0.0,1,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,1,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,1,,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V0,C0,0.0,1,,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V0,C0,0.0,1,,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,1,,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,1,,P50,10,6.1467,6.009,0.7022340619606668,5.513,6.557,1.0440000000000005,5.38,7.648,5.711450819075887,6.581949180924113
group_a_baseline,create_order,F0,V0,C0,0.0,1,,P95,10,7.7523,7.583,1.1800452015824552,6.807,8.022,1.2149999999999999,6.75,10.738,7.020900406525194,8.483699593474805
group_a_baseline,create_order,F0,V0,C0,0.0,1,,P99,10,8.8448,8.484,1.152159498989229,8.111,9.362,1.2509999999999994,7.604,11.663,8.13068414405753,9.558915855942468
group_a_baseline,create_order,F0,V0,C0,0.0,1,,throughput,10,133.10317321099896,150.41089728804027,52.926746940718495,129.68291483133476,163.93695782411436,34.2540429927796,8.875954091013924,176.225055605185,100.2988355936992,165.9075108282987
group_a_baseline,create_order,F0,V0,C0,0.0,10,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,10,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V0,C0,0.0,10,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,10,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,10,,RAF,10,1.00005,1.0,0.00015811388300840154,1.0,1.0,0.0,1.0,1.0005,0.9999520000000001,1.000148
group_a_baseline,create_order,F0,V0,C0,0.0,10,,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V0,C0,0.0,10,,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,10,,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,10,,P50,10,7.6584,6.8260000000000005,1.761864744461895,6.641,8.633,1.991999999999999,6.482,12.079,6.566384917756577,8.750415082243425
group_a_baseline,create_order,F0,V0,C0,0.0,10,,P95,10,11.4512,9.612,3.4005551768955478,9.137,14.837,5.699999999999999,8.98,18.482,9.343514065058923,13.558885934941078
group_a_baseline,create_order,F0,V0,C0,0.0,10,,P99,10,14.3747,11.283000000000001,5.09105324291764,10.222,18.988,8.766,10.092,23.095,11.219232508385979,17.530167491614023
group_a_baseline,create_order,F0,V0,C0,0.0,10,,throughput,10,1240.8815283035392,1440.6198441868025,460.87092297727577,1088.3880936585308,1489.5501813468707,401.16208768833985,10.671948216596501,1505.2927266325985,955.2307708089039,1526.5322857981746
group_a_baseline,create_order,F0,V0,C0,0.0,100,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,100,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V0,C0,0.0,100,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,100,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V0,C0,0.0,100,,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
