group,workload,failure_scenario,runs,variants,capabilities,concurrency_levels,probabilities,fanouts,seeds
group_f_generalization,charge_payment,F3,40,"V0,V2,V4,V5","C0,C1,C2",50,0.1,0,10
group_f_generalization,charge_payment,F8,40,"V0,V2,V4,V5","C0,C1,C2",50,0.1,0,10
group_a_baseline,create_order,F0,240,"V0,V1,V2,V3,V4,V5","C0,C1,C2","1,10,50,100",0.0,0,10
group_c_duplicates,create_order,F11,180,"V0,V1,V2,V3,V4,V5","C0,C1,C2",50,0.0,"2,5,10",10
group_e_safe_controls,create_order,F1,60,"V0,V1,V2,V3,V4,V5","C0,C1,C2",50,0.1,0,10
group_e_safe_controls,create_order,F2,60,"V0,V1,V2,V3,V4,V5","C0,C1,C2",50,0.1,0,10
group_b_ambiguous,create_order,F3,480,"V0,V1,V2,V3,V4,V5","C0,C1,C2","10,50","0.01,0.05,0.1,0.2",0,10
group_b_ambiguous,create_order,F4,480,"V0,V1,V2,V3,V4,V5","C0,C1,C2","10,50","0.01,0.05,0.1,0.2",0,10
group_c_duplicates,create_order,F5,180,"V0,V1,V2,V3,V4,V5","C0,C1,C2",50,0.0,"2,5,10",10
group_c_duplicates,create_order,F6,180,"V0,V1,V2,V3,V4,V5","C0,C1,C2",50,0.0,"2,5,10",10
group_e_safe_controls,create_order,F7,60,"V0,V1,V2,V3,V4,V5","C0,C1,C2",50,0.1,0,10
group_b_ambiguous,create_order,F8,480,"V0,V1,V2,V3,V4,V5","C0,C1,C2","10,50","0.01,0.05,0.1,0.2",0,10
group_b_ambiguous,create_order,F9,480,"V0,V1,V2,V3,V4,V5","C0,C1,C2","10,50","0.01,0.05,0.1,0.2",0,10
group_d_capability,create_order,F3,110,"V2,V3,V4,V5","C0,C1,C2",50,0.1,0,10
group_d_capability,create_order,F8,110,"V2,V3,V4,V5","C0,C1,C2",50,0.1,0,10
group_f_generalization,reserve_inventory,F3,40,"V0,V2,V4,V5","C0,C1,C2",50,0.1,0,10
group_f_generalization,reserve_inventory,F8,40,"V0,V2,V4,V5","C0,C1,C2",50,0.1,0,10
group_f_generalization,send_notification,F3,40,"V0,V2,V4,V5","C0,C1,C2",50,0.1,0,10
group_f_generalization,send_notification,F8,40,"V0,V2,V4,V5","C0,C1,C2",50,0.1,0,10
