group,failure_scenario,variant,metric,seed_count,min_seed_mean,max_seed_mean,all_seeds_nonzero,zero_seed_count
group_f_generalization,F3,V0,DER,10,0.09646666666666666,0.1022,True,0
group_f_generalization,F3,V0,UAR,10,0.0,0.0,False,10
group_f_generalization,F3,V0,DAF,10,1.3858666666666666,1.4088,True,0
group_f_generalization,F3,V0,P95,10,49.34166666666667,75.02033333333333,True,0
group_f_generalization,F8,V0,DER,10,0.09536666666666667,0.10166666666666667,True,0
group_f_generalization,F8,V0,UAR,10,0.0,0.0,False,10
group_f_generalization,F8,V0,DAF,10,1.3814666666666666,1.4066666666666667,True,0
group_f_generalization,F8,V0,P95,10,40.443666666666665,65.45933333333332,True,0
group_f_generalization,F3,V2,DER,10,0.0,0.0,False,10
group_f_generalization,F3,V2,UAR,10,0.0965,0.10300000000000001,True,0
group_f_generalization,F3,V2,DAF,10,0.9962,1.0,True,0
group_f_generalization,F3,V2,P95,10,49.76866666666667,81.06099999999999,True,0
group_f_generalization,F8,V2,DER,10,0.0,0.0,False,10
group_f_generalization,F8,V2,UAR,10,0.08990000000000001,0.10393333333333334,True,0
group_f_generalization,F8,V2,DAF,10,0.9940333333333333,1.0,True,0
group_f_generalization,F8,V2,P95,10,19.784666666666666,31.673,True,0
group_f_generalization,F3,V4,DER,10,0.0,0.0,False,10
group_f_generalization,F3,V4,UAR,10,0.0974,0.10146666666666666,True,0
group_f_generalization,F3,V4,DAF,10,1.0,1.0,True,0
group_f_generalization,F3,V4,P95,10,42.894333333333336,89.68166666666667,True,0
group_f_generalization,F8,V4,DER,10,0.0,0.0,False,10
group_f_generalization,F8,V4,UAR,10,0.0985,0.10153333333333334,True,0
group_f_generalization,F8,V4,DAF,10,1.0,1.0,True,0
group_f_generalization,F8,V4,P95,10,20.232333333333333,30.299,True,0
group_f_generalization,F3,V5,DER,10,0.0,0.0,False,10
group_f_generalization,F3,V5,UAR,10,0.0,0.0,False,10
group_f_generalization,F3,V5,DAF,10,1.0,1.0,True,0
group_f_generalization,F3,V5,P95,10,57.904,106.49633333333333,True,0
group_f_generalization,F8,V5,DER,10,0.0,0.0,False,10
group_f_generalization,F8,V5,UAR,10,0.0,0.0,False,10
group_f_generalization,F8,V5,DAF,10,1.0,1.0,True,0
group_f_generalization,F8,V5,P95,10,25.572333333333333,77.83933333333334,True,0
group_a_baseline,F0,V0,DER,10,0.0,0.0,False,10
group_a_baseline,F0,V0,UAR,10,0.0,0.0,False,10
group_a_baseline,F0,V0,DAF,10,1.0,1.0,True,0
group_a_baseline,F0,V0,P95,10,34.82025,69.5855,True,0
group_c_duplicates,F11,V0,DER,10,1.0,1.0,True,0
group_c_duplicates,F11,V0,UAR,10,0.0,0.0,False,10
group_c_duplicates,F11,V0,DAF,10,6.666666666666667,6.666666666666667,True,0
group_c_duplicates,F11,V0,P95,10,115.72433333333333,122.38066666666667,True,0
group_e_safe_controls,F1,V0,DER,10,0.0,0.0,False,10
group_e_safe_controls,F1,V0,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F1,V0,DAF,10,0.8942,0.9076,True,0
group_e_safe_controls,F1,V0,P95,10,31.293,85.96,True,0
group_e_safe_controls,F2,V0,DER,10,0.0,0.0,False,10
group_e_safe_controls,F2,V0,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F2,V0,DAF,10,1.0,1.0,True,0
group_e_safe_controls,F2,V0,P95,10,12.819,90.564,True,0
group_b_ambiguous,F3,V0,DER,10,0.088475,0.09116250000000001,True,0
group_b_ambiguous,F3,V0,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F3,V0,DAF,10,1.3539,1.36465,True,0
group_b_ambiguous,F3,V0,P95,10,28.530625,41.197375,True,0
group_b_ambiguous,F4,V0,DER,10,0.0,0.0,False,10
group_b_ambiguous,F4,V0,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F4,V0,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F4,V0,P95,10,21.517374999999998,29.18675,True,0
group_c_duplicates,F5,V0,DER,10,1.0,1.0,True,0
group_c_duplicates,F5,V0,UAR,10,0.0,0.0,False,10
group_c_duplicates,F5,V0,DAF,10,2.0,2.0,True,0
group_c_duplicates,F5,V0,P95,10,71.28699999999999,105.823,True,0
group_c_duplicates,F6,V0,DER,10,0.9970666666666667,1.0,True,0
group_c_duplicates,F6,V0,UAR,10,0.0,0.0,False,10
group_c_duplicates,F6,V0,DAF,10,5.656533333333333,5.666666666666667,True,0
group_c_duplicates,F6,V0,P95,10,102.49433333333334,123.97933333333333,True,0
group_e_safe_controls,F7,V0,DER,10,0.0,0.0,False,10
group_e_safe_controls,F7,V0,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F7,V0,DAF,10,1.0,1.0,True,0
group_e_safe_controls,F7,V0,P95,10,27.207,90.909,True,0
group_b_ambiguous,F8,V0,DER,10,0.08763750000000001,0.0921375,True,0
group_b_ambiguous,F8,V0,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F8,V0,DAF,10,1.35055,1.36855,True,0
group_b_ambiguous,F8,V0,P95,10,26.947125,34.6135,True,0
group_b_ambiguous,F9,V0,DER,10,0.0,0.0,False,10
group_b_ambiguous,F9,V0,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F9,V0,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F9,V0,P95,10,25.550625,32.047875,True,0
group_a_baseline,F0,V1,DER,10,0.0,0.0,False,10
group_a_baseline,F0,V1,UAR,10,0.0,0.0,False,10
group_a_baseline,F0,V1,DAF,10,1.0,1.0,True,0
group_a_baseline,F0,V1,P95,10,29.07275,74.89825,True,0
group_c_duplicates,F11,V1,DER,10,0.0,0.0,False,10
group_c_duplicates,F11,V1,UAR,10,0.0,0.0,False,10
group_c_duplicates,F11,V1,DAF,10,6.666666666666667,6.666666666666667,True,0
group_c_duplicates,F11,V1,P95,10,112.24600000000001,116.15066666666667,True,0
group_e_safe_controls,F1,V1,DER,10,0.0,0.0,False,10
group_e_safe_controls,F1,V1,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F1,V1,DAF,10,0.8962,0.9052,True,0
group_e_safe_controls,F1,V1,P95,10,26.189,51.242,True,0
group_e_safe_controls,F2,V1,DER,10,0.0,0.0,False,10
group_e_safe_controls,F2,V1,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F2,V1,DAF,10,1.0,1.0,True,0
group_e_safe_controls,F2,V1,P95,10,13.726,50.953,True,0
group_b_ambiguous,F3,V1,DER,10,0.0,0.0,False,10
group_b_ambiguous,F3,V1,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F3,V1,DAF,10,1.3538000000000001,1.3676,True,0
group_b_ambiguous,F3,V1,P95,10,26.2825,35.893,True,0
group_b_ambiguous,F4,V1,DER,10,0.0,0.0,False,10
group_b_ambiguous,F4,V1,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F4,V1,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F4,V1,P95,10,26.19125,30.518875,True,0
group_c_duplicates,F5,V1,DER,10,0.0,0.0,False,10
group_c_duplicates,F5,V1,UAR,10,0.0,0.0,False,10
group_c_duplicates,F5,V1,DAF,10,2.0,2.0,True,0
group_c_duplicates,F5,V1,P95,10,73.795,110.36933333333333,True,0
group_c_duplicates,F6,V1,DER,10,0.0,0.0,False,10
group_c_duplicates,F6,V1,UAR,10,0.0,0.0,False,10
group_c_duplicates,F6,V1,DAF,10,5.0984,5.170433333333333,True,0
group_c_duplicates,F6,V1,P95,10,100.676,109.30266666666667,True,0
group_e_safe_controls,F7,V1,DER,10,0.0,0.0,False,10
group_e_safe_controls,F7,V1,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F7,V1,DAF,10,1.0,1.0,True,0
group_e_safe_controls,F7,V1,P95,10,17.918,54.953,True,0
group_b_ambiguous,F8,V1,DER,10,0.0,0.0,False,10
group_b_ambiguous,F8,V1,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F8,V1,DAF,10,1.3534,1.36795,True,0
group_b_ambiguous,F8,V1,P95,10,28.10925,35.4905,True,0
group_b_ambiguous,F9,V1,DER,10,0.0,0.0,False,10
group_b_ambiguous,F9,V1,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F9,V1,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F9,V1,P95,10,26.952125,32.618875,True,0
group_d_capability,F3,V2,DER,10,0.0,0.0,False,10
group_d_capability,F3,V2,UAR,10,0.09643333333333333,0.10283333333333333,True,0
group_d_capability,F3,V2,DAF,10,1.0,1.0,True,0
group_d_capability,F3,V2,P95,10,47.468,90.54566666666666,True,0
group_d_capability,F8,V2,DER,10,0.0,0.0,False,10
group_d_capability,F8,V2,UAR,10,0.09833333333333334,0.103,True,0
group_d_capability,F8,V2,DAF,10,1.0,1.0,True,0
group_d_capability,F8,V2,P95,10,19.66,27.032333333333334,True,0
group_a_baseline,F0,V2,DER,10,0.0,0.0,False,10
group_a_baseline,F0,V2,UAR,10,0.0,0.0,False,10
group_a_baseline,F0,V2,DAF,10,1.0,1.0,True,0
group_a_baseline,F0,V2,P95,10,35.6695,71.63675,True,0
group_c_duplicates,F11,V2,DER,10,0.0,0.0,False,10
