experiment_id,group,status,attempts_to_complete,final_run_dir,first_start_time,completion_time,failure_classification_if_any,batch_id,notes
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7000,group_f_generalization,COMPLETE,1,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7000/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7000_1788684795088,2026-09-06T01:53:15-0700,2026-09-06T01:53:29-0700,,0619,reconciled_existing_valid_result
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7001,group_f_generalization,COMPLETE,1,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7001/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7001_1788684905882,2026-09-06T01:55:05-0700,2026-09-06T01:55:17-0700,,0620,reconciled_existing_valid_result
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7002,group_f_generalization,COMPLETE,1,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7002/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7002_1788685038510,2026-09-06T01:57:18-0700,2026-09-06T01:57:30-0700,,0622,reconciled_existing_valid_result
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7003,group_f_generalization,COMPLETE,1,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7003/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7003_1788685166008,2026-09-06T01:59:25-0700,2026-09-06T01:59:37-0700,,0623,reconciled_existing_valid_result
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7004,group_f_generalization,COMPLETE,1,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7004/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7004_1788685304674,2026-09-06T02:01:44-0700,2026-09-06T02:01:55-0700,,0625,reconciled_existing_valid_result
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7005,group_f_generalization,COMPLETE,1,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7005/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7005_1788685435168,2026-09-06T02:03:55-0700,2026-09-06T02:04:09-0700,,0627,reconciled_existing_valid_result
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7006,group_f_generalization,COMPLETE,1,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7006/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7006_1788685546259,2026-09-06T02:05:46-0700,2026-09-06T02:05:57-0700,,0628,reconciled_existing_valid_result
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7007,group_f_generalization,COMPLETE,1,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7007/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7007_1788685680090,2026-09-06T02:08:00-0700,2026-09-06T02:08:11-0700,,0630,reconciled_existing_valid_result
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7008,group_f_generalization,COMPLETE,1,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7008/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7008_1788685807539,2026-09-06T02:10:07-0700,2026-09-06T02:10:19-0700,,0631,reconciled_existing_valid_result
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7009,group_f_generalization,COMPLETE,1,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7009/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7009_1788685940608,2026-09-06T02:12:20-0700,2026-09-06T02:12:32-0700,,0633,reconciled_existing_valid_result
CHARGEPAYMENT_V0_C0_F8_P10_C50_S7000,group_f_generalization,COMPLETE,1,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7000/CHARGEPAYMENT_V0_C0_F8_P10_C50_S7000_1788684809803,2026-09-06T01:53:29-0700,2026-09-06T01:53:39-0700,,0619,reconciled_existing_valid_result
