failure_scenario,variant,failure_probability,concurrency,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,V0,0.01,10,DER,10,0.010299999999999998,0.0103,0.0007916228058025275,0.0099,0.011,0.0010999999999999985,0.0088,0.0116,0.009809347101642446,0.010790652898357551
F3,V0,0.01,50,DER,10,0.00946,0.00945,0.00040331955899344465,0.0091,0.0097,0.0005999999999999998,0.0089,0.0101,0.00921001994746247,0.00970998005253753
F3,V0,0.05,10,DER,10,0.049960000000000004,0.04935,0.002297921766389022,0.0486,0.0526,0.0040000000000000036,0.0471,0.0533,0.04853573333333334,0.05138426666666667
F3,V0,0.05,50,DER,10,0.04938,0.0493,0.002195348618227992,0.0472,0.0513,0.0040999999999999995,0.0469,0.0527,0.04801930882922604,0.05074069117077396
F3,V0,0.1,10,DER,10,0.10056000000000001,0.10065,0.003203886528716162,0.0988,0.1018,0.0030000000000000027,0.0951,0.1063,0.0985742105560872,0.10254578944391282
F3,V0,0.1,50,DER,10,0.09956,0.09914999999999999,0.0019895281405957078,0.0983,0.1012,0.0029,0.0964,0.103,0.0983268776829167,0.10079312231708329
F3,V0,0.2,10,DER,10,0.20104000000000002,0.2002,0.003370855479943735,0.1987,0.2028,0.00410000000000002,0.1969,0.2078,0.1989507221279431,0.20312927787205695
F3,V0,0.2,50,DER,10,0.19939,0.1989,0.0035174011871140173,0.1966,0.2023,0.005700000000000011,0.195,0.2054,0.19720989215761137,0.20157010784238866
F3,V1,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,0.05,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,0.05,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,0.1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,0.1,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V1,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,0.05,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,0.05,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,0.1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,0.1,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,0.05,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,0.05,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,0.1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,0.1,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.05,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.05,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.1,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.05,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.05,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.1,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V0,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V0,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V0,0.05,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V0,0.05,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V0,0.1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V0,0.1,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V0,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V0,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V1,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V1,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V1,0.05,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V1,0.05,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V1,0.1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V1,0.1,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V1,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V1,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V2,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V2,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V2,0.05,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V2,0.05,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V2,0.1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V2,0.1,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V2,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V2,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V3,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V3,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V3,0.05,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V3,0.05,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V3,0.1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V3,0.1,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V3,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V3,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V4,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,V4,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
