failure_scenario,variant,fanout,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F11,V0,10,RAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0
F11,V0,10,DAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0
F11,V0,2,RAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
F11,V0,2,DAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
F11,V0,5,RAF,10,6.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0
F11,V0,5,DAF,10,6.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0
F11,V1,10,RAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0
F11,V1,10,DAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0
F11,V1,2,RAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
F11,V1,2,DAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
F11,V1,5,RAF,10,6.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0
F11,V1,5,DAF,10,6.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0
F11,V2,10,RAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0
F11,V2,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F11,V2,2,RAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
F11,V2,2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F11,V2,5,RAF,10,6.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0
F11,V2,5,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F11,V3,10,RAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0
F11,V3,10,DAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0
F11,V3,2,RAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
F11,V3,2,DAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
F11,V3,5,RAF,10,6.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0
F11,V3,5,DAF,10,6.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0
F11,V4,10,RAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0
F11,V4,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F11,V4,2,RAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
F11,V4,2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F11,V4,5,RAF,10,6.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0
