experiment_id,group,workload,variant,downstream_capability,failure_scenario,failure_probability,concurrency,duplicate_fanout,retry_fanout,seed,operations,warmup_operations,DER,EOER,LER,RSR,RAF,DAF,RRR,UAR,P50,P95,P99,throughput,selected_for_fault,reached_fault_hook,fault_injected,logical_operations,total_attempts,total_downstream_calls,total_effects,duplicate_operations,exactly_once_operations,zero_effect_operations,unknown_operations,reconciled_operations,replayed_operations,run_dir,final_validation_status
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7000,group_f_generalization,charge_payment,V0,C0,F3,0.1,50,,,7000,10000,1000,0.0979,0.9021,0.0,0.0,1.3916,1.3916,0.0,0.0,12.397,65.729,147.304,909.6228739214843,1021,10000,9021,10000,13916,13916,13916,979,9021,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7000/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7000_1788684795088,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7001,group_f_generalization,charge_payment,V0,C0,F3,0.1,50,,,7001,10000,1000,0.0988,0.9012,0.0,0.0,1.3952,1.3952,0.0,0.0,10.167,48.823,65.431,1061.176032801878,973,10000,9012,10000,13952,13952,13952,988,9012,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7001/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7001_1788684905882,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7002,group_f_generalization,charge_payment,V0,C0,F3,0.1,50,,,7002,10000,1000,0.1,0.9,0.0,0.0,1.4,1.4,0.0,0.0,10.216,48.823,70.995,1043.6542829497514,1021,10000,9000,10000,14000,14000,14000,1000,9000,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7002/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7002_1788685038510,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7003,group_f_generalization,charge_payment,V0,C0,F3,0.1,50,,,7003,10000,1000,0.098,0.902,0.0,0.0,1.392,1.392,0.0,0.0,11.122,53.306,70.90299999999999,1033.9548700317528,977,10000,9020,10000,13920,13920,13920,980,9020,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7003/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7003_1788685166008,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7004,group_f_generalization,charge_payment,V0,C0,F3,0.1,50,,,7004,10000,1000,0.0965,0.9035,0.0,0.0,1.386,1.386,0.0,0.0,9.93,46.204,65.741,1085.8520241116237,1001,10000,9035,10000,13860,13860,13860,965,9035,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7004/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7004_1788685304674,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7005,group_f_generalization,charge_payment,V0,C0,F3,0.1,50,,,7005,10000,1000,0.1033,0.8967,0.0,0.0,1.4132,1.4132,0.0,0.0,13.155,70.88,152.84499999999997,869.6476486257785,986,10000,8967,10000,14132,14132,14132,1033,8967,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7005/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7005_1788685435168,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7006,group_f_generalization,charge_payment,V0,C0,F3,0.1,50,,,7006,10000,1000,0.0993,0.9007,0.0,0.0,1.3972,1.3972,0.0,0.0,10.214,48.68,65.78,1058.2574951508248,1022,10000,9007,10000,13972,13972,13972,993,9007,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7006/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7006_1788685546259,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7007,group_f_generalization,charge_payment,V0,C0,F3,0.1,50,,,7007,10000,1000,0.1001,0.8999,0.0,0.0,1.4004,1.4004,0.0,0.0,9.636,46.352000000000004,67.47500000000001,1059.273122592153,1017,10000,8999,10000,14004,14004,14004,1001,8999,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7007/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7007_1788685680090,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7008,group_f_generalization,charge_payment,V0,C0,F3,0.1,50,,,7008,10000,1000,0.1026,0.8974,0.0,0.0,1.4104,1.4104,0.0,0.0,10.842,52.485,68.083,1009.2902354806172,1030,10000,8974,10000,14104,14104,14104,1026,8974,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7008/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7008_1788685807539,PASS
CHARGEPAYMENT_V0_C0_F3_P10_C50_S7009,group_f_generalization,charge_payment,V0,C0,F3,0.1,50,,,7009,10000,1000,0.1012,0.8988,0.0,0.0,1.4048,1.4048,0.0,0.0,9.683,47.135999999999996,63.984,1054.9456829124995,977,10000,8988,10000,14048,14048,14048,1012,8988,0,0,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7009/CHARGEPAYMENT_V0_C0_F3_P10_C50_S7009_1788685940608,PASS
