trace_label,experiment_id,logical_operation,injected_failure,variant,downstream_capability,workload,attempt_sequence,downstream_calls,effect_creation,ledger_transitions,retry_replay_reconciliation,final_state
v0_f3_duplicate,CHARGEPAYMENT_V0_C0_F3_P10_C50_S7000,CHARGEPAYMENT_V0_C0_F3_P10_C50_S7000_OP_00001000,F3,V0,C0,charge_payment,see events.csv,see events.csv and operations.csv,see effects.csv,see ledger_transitions.csv when non-empty,replayed_ops=0;reconciled_ops=0,see operations.csv
v2_f3,CHARGEPAYMENT_V2_C1_F3_P10_C50_S7000,CHARGEPAYMENT_V2_C1_F3_P10_C50_S7000_OP_00001009,F3,V2,C1,charge_payment,see events.csv,see events.csv and operations.csv,see effects.csv,see ledger_transitions.csv when non-empty,replayed_ops=0;reconciled_ops=0,see operations.csv
v4_f8_unknown,CHARGEPAYMENT_V4_C1_F8_P10_C50_S7000,CHARGEPAYMENT_V4_C1_F8_P10_C50_S7000_OP_00001002,F8,V4,C1,charge_payment,see events.csv,see events.csv and operations.csv,see effects.csv,see ledger_transitions.csv when non-empty,replayed_ops=0;reconciled_ops=0,see operations.csv
v5_f8_reconciliation,CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000,CHARGEPAYMENT_V5_C2_F8_P10_C50_S7000_OP_00001013,F8,V5,C2,charge_payment,see events.csv,see events.csv and operations.csv,see effects.csv,see ledger_transitions.csv when non-empty,replayed_ops=1010;reconciled_ops=1010,see operations.csv
v0_f6_fanout10,CREATEORDER_V0_C0_F6_P0_C50_FAN10_S7000,CREATEORDER_V0_C0_F6_P0_C50_FAN10_S7000_OP_00001000,F6,V0,C0,create_order,see events.csv,see events.csv and operations.csv,see effects.csv,see ledger_transitions.csv when non-empty,replayed_ops=0;reconciled_ops=0,see operations.csv
v5_f6_fanout10,CREATEORDER_V5_C2_F6_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F6_P0_C50_FAN10_S7000_OP_00001000,F6,V5,C2,create_order,see events.csv,see events.csv and operations.csv,see effects.csv,see ledger_transitions.csv when non-empty,replayed_ops=9749;reconciled_ops=0,see operations.csv
v0_f11_fanout10,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000,CREATEORDER_V0_C0_F11_P0_C50_FAN10_S7000_OP_00001000,F11,V0,C0,create_order,see events.csv,see events.csv and operations.csv,see effects.csv,see ledger_transitions.csv when non-empty,replayed_ops=0;reconciled_ops=0,see operations.csv
v5_f11_fanout10,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000,CREATEORDER_V5_C2_F11_P0_C50_FAN10_S7000_OP_00001000,F11,V5,C2,create_order,see events.csv,see events.csv and operations.csv,see effects.csv,see ledger_transitions.csv when non-empty,replayed_ops=10000;reconciled_ops=0,see operations.csv
capability_c0,CREATEORDER_V2_C0_F3_P10_C50_CAP_S7000,CREATEORDER_V2_C0_F3_P10_C50_CAP_S7000_OP_00001000,F3,V2,C0,create_order,see events.csv,see events.csv and operations.csv,see effects.csv,see ledger_transitions.csv when non-empty,replayed_ops=0;reconciled_ops=0,see operations.csv
capability_c2,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000,CREATEORDER_V2_C2_F3_P10_C50_CAP_S7000_OP_00001000,F3,V2,C2,create_order,see events.csv,see events.csv and operations.csv,see effects.csv,see ledger_transitions.csv when non-empty,replayed_ops=0;reconciled_ops=0,see operations.csv
payment,CHARGEPAYMENT_V0_C0_F3_P10_C50_S7001,CHARGEPAYMENT_V0_C0_F3_P10_C50_S7001_OP_00001003,F3,V0,C0,charge_payment,see events.csv,see events.csv and operations.csv,see effects.csv,see ledger_transitions.csv when non-empty,replayed_ops=0;reconciled_ops=0,see operations.csv
inventory,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,F3,V0,C0,reserve_inventory,see events.csv,see events.csv and operations.csv,see effects.csv,see ledger_transitions.csv when non-empty,replayed_ops=0;reconciled_ops=0,see operations.csv
notification,SENDNOTIFICATION_V0_C0_F3_P10_C50_S7000,SENDNOTIFICATION_V0_C0_F3_P10_C50_S7000_OP_00001000,F3,V0,C0,send_notification,see events.csv,see events.csv and operations.csv,see effects.csv,see ledger_transitions.csv when non-empty,replayed_ops=0;reconciled_ops=0,see operations.csv
