experiment_id,run_id,seed,variant,downstream_capability,failure_scenario,failure_probability,concurrency,operation_id,attempt_id,service,tool_name,request_hash,measured,event_type,timestamp,duration_ms,result_status,http_status,final_state,replayed,reconciled,downstream_effect_id
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,7000,V0,C0,F3,0.1,50,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004_ATTEMPT_01,agent-simulator,reserve_inventory,27d4f4485f26dffc21f77f59cfa13e816f611c1beff4235d8c5ffa917135a169,True,agent_attempt,1788698788.7058408,32.241,504,504,,False,False,
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,7000,V0,C0,F3,0.1,50,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004_ATTEMPT_02,agent-simulator,reserve_inventory,27d4f4485f26dffc21f77f59cfa13e816f611c1beff4235d8c5ffa917135a169,True,agent_attempt,1788698788.7594602,40.438,504,504,,False,False,
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,7000,V0,C0,F3,0.1,50,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004_ATTEMPT_03,agent-simulator,reserve_inventory,27d4f4485f26dffc21f77f59cfa13e816f611c1beff4235d8c5ffa917135a169,True,agent_attempt,1788698788.846121,64.79,504,504,,False,False,
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,7000,V0,C0,F3,0.1,50,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004_ATTEMPT_04,agent-simulator,reserve_inventory,27d4f4485f26dffc21f77f59cfa13e816f611c1beff4235d8c5ffa917135a169,True,agent_attempt,1788698788.929427,35.008,504,504,,False,False,
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,7000,V0,C0,F3,0.1,50,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004_ATTEMPT_05,agent-simulator,reserve_inventory,27d4f4485f26dffc21f77f59cfa13e816f611c1beff4235d8c5ffa917135a169,True,agent_attempt,1788698789.0343099,23.75,504,504,,False,False,
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,,,,,,,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004_ATTEMPT_01,inventory-service,reserve_inventory,27d4f4485f26dffc21f77f59cfa13e816f611c1beff4235d8c5ffa917135a169,True,downstream_execute,1788698788.698366,,OK,,,False,False,c4696242-7572-4c82-bb5d-96502f46897e
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,,,,,,,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004_ATTEMPT_02,inventory-service,reserve_inventory,27d4f4485f26dffc21f77f59cfa13e816f611c1beff4235d8c5ffa917135a169,True,downstream_execute,1788698788.742695,,OK,,,False,False,a6b22b41-1527-49b7-97f3-ed54da9b8610
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,,,,,,,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004_ATTEMPT_03,inventory-service,reserve_inventory,27d4f4485f26dffc21f77f59cfa13e816f611c1beff4235d8c5ffa917135a169,True,downstream_execute,1788698788.837763,,OK,,,False,False,3ca18403-d23f-43fc-935b-08355de91f49
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,,,,,,,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004_ATTEMPT_04,inventory-service,reserve_inventory,27d4f4485f26dffc21f77f59cfa13e816f611c1beff4235d8c5ffa917135a169,True,downstream_execute,1788698788.923505,,OK,,,False,False,481c6b27-4c5c-4a29-a6e3-36cd249fb62f
RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_1788698785863,,,,,,,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004,RESERVEINVENTORY_V0_C0_F3_P10_C50_S7000_OP_00001004_ATTEMPT_05,inventory-service,reserve_inventory,27d4f4485f26dffc21f77f59cfa13e816f611c1beff4235d8c5ffa917135a169,True,downstream_execute,1788698789.025368,,OK,,,False,False,39987b06-4ece-41a6-abbe-33b228c8d393
