failure_scenario,variant,downstream_capability,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high,limitation_note
F3,V2,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F3,V2,C0,UAR,10,0.09868999999999999,0.09855,0.003634541083670523,0.0955,0.1018,0.0063,0.0943,0.1047,0.09643728809752432,0.10094271190247565,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F3,V2,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F3,V2,C0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F3,V4,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F3,V4,C0,UAR,10,0.0993,0.10025,0.0030077677215281534,0.0973,0.1008,0.003500000000000003,0.0936,0.103,0.09743576625213825,0.10116423374786175,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F3,V4,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F3,V4,C0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F3,V5,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F3,V5,C0,UAR,10,0.10149999999999999,0.09935,0.005574346000503856,0.0984,0.1043,0.0059000000000000025,0.0943,0.1143,0.0980449845538213,0.10495501544617869,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F3,V5,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F3,V5,C0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F8,V2,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F8,V2,C0,UAR,10,0.09939,0.0985,0.002491964865099204,0.0972,0.1013,0.004100000000000006,0.0969,0.1041,0.09784546417472577,0.10093453582527424,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F8,V2,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F8,V2,C0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F8,V4,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F8,V4,C0,UAR,10,0.10022,0.1001,0.003800526279346061,0.0975,0.1032,0.005699999999999997,0.0953,0.1062,0.09786440940738846,0.10257559059261155,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F8,V4,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F8,V4,C0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F8,V5,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F8,V5,C0,UAR,10,0.09884,0.09805,0.0027661445290431863,0.0968,0.1,0.0032000000000000084,0.0962,0.1054,0.09712552585839791,0.10055447414160208,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F8,V5,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
F8,V5,C0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,C0 has no downstream identity/query support; post-effect ambiguity may remain unresolved under this model.
