variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high,mechanism_mapping
V1,DER,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,agent identity/correlation
V1,UAR,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,agent identity/correlation
V1,RSR,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,agent identity/correlation
V1,DAF,480,1.7922420833333337,1.037,1.9770254017869602,1.0,1.7444,0.7444,0.8962,11.0,1.6153747198111597,1.9691094468555077,agent identity/correlation
V1,P95,480,45.293529166666666,39.3995,40.46091319683091,14.873,49.66,34.787,6.802,211.023,41.67384120699008,48.91321712634325,agent identity/correlation
V2,DER,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gateway durable dedupe
V2,UAR,600,0.04401283333333333,0.0,0.059856514732305625,0.0,0.0986,0.0986,0.0,0.2081,0.03922331465006592,0.048802352016600735,gateway durable dedupe
V2,RSR,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gateway durable dedupe
V2,DAF,600,0.9934396666666667,1.0,0.029783202623061982,1.0,1.0,0.0,0.8072,1.0,0.9910565141218075,0.9958228192115259,gateway durable dedupe
V2,P95,600,246.1000466666667,44.617000000000004,899.6823592885303,20.833,83.935,63.102000000000004,8.122,17113.931,174.11046477921937,318.08962855411403,gateway durable dedupe
V3,DER,520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstream idempotency
V3,UAR,520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstream idempotency
V3,RSR,520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,downstream idempotency
V3,DAF,520,1.7618321153846164,1.043,1.9013962413185561,1.0,1.6331,0.6331,0.8961,11.0,1.5984039028944055,1.9252603278748273,downstream idempotency
V3,P95,520,46.80575961538465,41.3605,39.761253720569556,15.64,51.342,35.702,6.747,200.179,43.38821282491861,50.22330640585069,downstream idempotency
V4,DER,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,end-to-end stable identity + ledger + downstream support
V4,UAR,600,0.044013833333333335,0.0,0.05988819124883734,0.0,0.0985,0.0985,0.0,0.2067,0.03922178000085643,0.04880588666581024,end-to-end stable identity + ledger + downstream support
V4,RSR,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,end-to-end stable identity + ledger + downstream support
V4,DAF,600,0.9934193333333333,1.0,0.030092735792347,1.0,1.0,0.0,0.7986,1.0,0.9910114129765825,0.9958272536900842,end-to-end stable identity + ledger + downstream support
V4,P95,600,254.08546666666672,43.396,997.1001889214934,21.712,85.726,64.014,8.141,20053.303000000004,174.3008349471814,333.87009838615205,end-to-end stable identity + ledger + downstream support
V5,DER,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,V4 + reconciliation
V5,UAR,600,0.006667500000000001,0.0,0.024986091498350436,0.0,0.0,0.0,0.0,0.1143,0.004668196288643256,0.008666803711356745,V4 + reconciliation
V5,RSR,600,0.037268666666666686,0.0,0.05872261740204081,0.0,0.0954,0.0954,0.0,0.2108,0.03256987866614114,0.04196745466719223,V4 + reconciliation
V5,DAF,600,0.9934441666666667,1.0,0.03000235604502825,1.0,1.0,0.0,0.8063,1.0,0.9910434781958736,0.9958448551374598,V4 + reconciliation
V5,P95,600,214.1130666666667,54.0085,547.2107260477463,20.845999999999997,93.31099999999999,72.465,8.342,2927.563,170.32708935390028,257.89904397943315,V4 + reconciliation
