variant,concurrency,n,P50_mean,P95_mean,P99_mean,throughput_mean,RAF_mean,DAF_mean,P95_delta_vs_V0,P95_pct_vs_V0,P99_delta_vs_V0,P99_pct_vs_V0,throughput_delta_vs_V0,throughput_pct_vs_V0
V1,1,10,6.3018,7.8088999999999995,8.9133,142.30871023720593,1.0,1.0,0.05659999999999865,0.7301059040542632,0.06850000000000023,0.7744663531114354,9.205537026206969,6.916091332859577
V1,10,10,7.1638,10.0829,12.029899999999998,1390.85231788405,1.0,1.0,-1.3683000000000014,-11.948966047226502,-2.344800000000001,-16.311992598106404,149.9707895805111,12.085826580523158
V1,50,10,26.4895,47.7163,60.97360000000001,1641.710766847465,1.0,1.0,0.6029999999999944,1.27989336344513,0.7790000000000106,1.2941360188455617,24.75970649424721,1.5312588674661887
V1,100,10,42.9582,104.9163,135.13080000000002,1557.7440304058714,1.0,1.0,-5.969500000000011,-5.383466593558427,-3.3311999999999955,-2.4058586471378396,21.96136204133336,1.4299785050133502
V2,1,10,7.379099999999999,9.014,10.432400000000001,133.79933905554554,1.0,1.0,1.2616999999999985,16.275169949563335,1.587600000000002,17.949529667149083,0.6961658445465844,0.5230272335002881
V2,10,10,9.7331,12.8476,15.577499999999997,1014.4699917854398,1.0,1.0,1.396399999999998,12.194355176750015,1.202799999999998,8.367478973474217,-226.41153651809918,-18.246023601272867
V2,50,10,30.6453,53.84929999999999,68.2698,1239.1850251109317,1.0,1.0,6.73599999999999,14.297448915698943,8.075200000000002,13.415156841311351,-377.7660352422861,-23.362861406563802
V2,100,10,56.146699999999996,120.0386,153.9923,1247.3075759009291,1.00028,1.0,9.152799999999985,8.254257984340631,15.530299999999983,11.21629039014313,-288.4750924636089,-18.783588225462093
V3,1,10,6.279999999999999,7.7595,8.9132,158.2071226186225,1.0,1.0,0.007199999999999207,0.09287566270654136,0.06840000000000046,0.7733357452966767,25.10394940762353,18.86051910109463
V3,10,10,7.348000000000001,10.558300000000001,12.668200000000002,1354.9922897250258,1.0,1.0,-0.8929000000000009,-7.797436076568401,-1.7064999999999966,-11.871552101956889,114.11076142148681,9.195943272480847
V3,50,10,24.3542,44.8778,57.8532,1661.3328917627114,1.0,1.0,-2.235500000000002,-4.744944633468685,-2.3414,-3.8897176823170185,44.38183140949354,2.744785077156168
V3,100,10,43.6515,87.72070000000002,114.79479999999998,1561.8211953286059,1.0,1.0,-23.165099999999995,-20.89095267383199,-23.667200000000037,-17.09292080137513,26.03852696406784,1.6954564926687437
V4,1,10,7.443300000000001,9.093599999999999,10.579,132.50875255986458,1.0,1.0,1.3412999999999977,17.301961998374647,1.7342000000000013,19.607000723589017,-0.594420651134385,-0.4465863861803598
V4,10,10,10.174499999999998,13.5793,15.788300000000001,971.314389508842,1.0,1.0,2.128099999999998,18.584078524521427,1.4136000000000024,9.833944360577977,-269.5671387946969,-21.723841692061725
V4,50,10,26.848400000000005,50.0771,62.0087,1357.3602482309611,1.0,1.0,2.963799999999999,6.2907926211918905,1.8140999999999963,3.013725483681254,-259.5908121222567,-16.054339459448443
V4,100,10,63.71510000000001,125.25430000000001,157.5256,1307.5488577561573,1.0,1.0,14.368499999999997,12.95792608251011,19.06359999999998,13.768109661856668,-228.23381060838074,-14.861074767266905
V5,1,10,7.5927999999999995,9.222999999999999,10.575700000000001,130.3767688518333,1.0,1.0,1.4706999999999981,18.971144047572952,1.7309000000000019,19.569690665701906,-2.726404359165656,-2.0483391142325975
V5,10,10,10.1053,13.362,15.6672,978.3954237386072,1.0,1.0,1.9107999999999983,16.686460807600934,1.2925000000000004,8.99149199635471,-262.4861045649318,-21.153196222026732
V5,50,10,28.3507,46.84779999999999,57.7325,1355.9275770461954,1.0,1.0,-0.26550000000001006,-0.5635351376363151,-2.4620999999999995,-4.090234007701687,-261.0234833070224,-16.142942709101078
V5,100,10,50.478300000000004,121.8037,154.3064,1259.316402664926,1.0,1.0,10.917899999999989,9.846075872654557,15.844399999999979,11.443139633978982,-276.466265699612,-18.00165292879768
