failure_scenario,variant,downstream_capability,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,V2,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,C0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,C0,UAR,10,0.09868999999999999,0.09855,0.003634541083670523,0.0955,0.1018,0.0063,0.0943,0.1047,0.09643728809752432,0.10094271190247565
F3,V2,C0,RAF,10,1.3947600000000002,1.3942,0.014538164334682132,1.382,1.4072,0.02520000000000011,1.3772,1.4188,1.3857491523900975,1.403770847609903
F3,V2,C0,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,C1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,C1,UAR,10,0.0995,0.09945000000000001,0.0031664912232101127,0.0963,0.102,0.005699999999999997,0.0953,0.1045,0.0975373884065698,0.10146261159343022
F3,V2,C1,RAF,10,1.398,1.3978,0.012665964892840418,1.3852,1.408,0.02279999999999993,1.3812,1.418,1.3901495536262791,1.4058504463737207
F3,V2,C1,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,C2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V2,C2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V2,C2,UAR,10,0.10064999999999999,0.10035,0.002795730872439461,0.0985,0.1026,0.0040999999999999925,0.0969,0.1056,0.09891718805277536,0.10238281194722462
F3,V2,C2,RAF,10,1.4025999999999998,1.4014,0.011182923489757898,1.394,1.4104,0.016400000000000192,1.3876,1.4224,1.3956687522111013,1.4095312477888984
F3,V2,C2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V3,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,C1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V3,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,C1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,C1,RAF,10,1.404,1.4004,0.012214381323305367,1.396,1.408,0.01200000000000001,1.39,1.4264,1.3964294480224726,1.4115705519775272
F3,V3,C1,DAF,10,1.404,1.4004,0.012214381323305367,1.396,1.408,0.01200000000000001,1.39,1.4264,1.3964294480224726,1.4115705519775272
F3,V3,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,C2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V3,C2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,C2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,C2,RAF,10,1.3959199999999998,1.3996,0.009087818464540567,1.3964,1.402,0.005599999999999827,1.3784,1.4028,1.3902873117592236,1.401552688240776
F3,V3,C2,DAF,10,1.3959199999999998,1.3996,0.009087818464540567,1.3964,1.402,0.005599999999999827,1.3784,1.4028,1.3902873117592236,1.401552688240776
F3,V4,C0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,C0,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,C0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,C0,UAR,10,0.0993,0.10025,0.0030077677215281534,0.0973,0.1008,0.003500000000000003,0.0936,0.103,0.09743576625213825,0.10116423374786175
F3,V4,C0,RAF,10,1.3972000000000002,1.401,0.012031070886112579,1.3892,1.4032,0.014000000000000012,1.3744,1.412,1.3897430650085532,1.4046569349914473
F3,V4,C0,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,C1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,C1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,C1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,C1,UAR,10,0.10152000000000001,0.10185,0.001395866915018924,0.1002,0.1026,0.0023999999999999994,0.0997,0.1034,0.10065483272266125,0.10238516727733878
F3,V4,C1,RAF,10,1.4060799999999998,1.4074,0.005583467660075686,1.4008,1.4104,0.009600000000000053,1.3988,1.4136,1.4026193308906447,1.4095406691093548
F3,V4,C1,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,C2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,C2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,C2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,C2,UAR,10,0.09910999999999999,0.0985,0.0023043196151768747,0.0974,0.1019,0.004500000000000004,0.0957,0.1023,0.09768176790557151,0.10053823209442847
F3,V4,C2,RAF,10,1.3964400000000001,1.3940000000000001,0.009217278460707494,1.3896,1.4076,0.018000000000000016,1.3828,1.4092,1.3907270716222861,1.402152928377714
