group,failure_scenario,variant,DER_improvement_vs_V0,UAR,RSR,RAF,DAF,P95_overhead_vs_V0,P99_overhead_vs_V0,throughput_overhead_vs_V0
group_a_baseline,F0,V1,0.0,0.0,0.0,1.0,1.0,0.6029999999999944,0.7790000000000106,24.75970649424721
group_b_ambiguous,F3,V1,0.09956,0.0,0.0,1.4015999999999997,1.4015999999999997,-0.49619999999999465,0.32160000000000366,-15.948116056127446
group_b_ambiguous,F8,V1,0.09892000000000001,0.0,0.0,1.3984,1.3984,-1.2867000000000033,-4.333300000000008,0.7004728626734504
group_a_baseline,F0,V2,0.0,0.0,0.0,1.0,1.0,6.73599999999999,8.075200000000002,-377.7660352422861
group_b_ambiguous,F3,V2,0.09956,0.10259,0.0,1.41036,1.0,1.8725000000000094,5.1987999999999985,-119.42550172771314
group_b_ambiguous,F8,V2,0.09892000000000001,0.10132000000000001,0.0,1.4052799999999999,1.0,-20.256200000000003,-32.5202,-417.10571807304973
group_a_baseline,F0,V3,0.0,0.0,0.0,1.0,1.0,-2.235500000000002,-2.3414,44.38183140949354
group_b_ambiguous,F3,V3,0.09956,0.0,0.0,1.3972000000000002,1.3972000000000002,0.09390000000000498,1.5740000000000052,-12.243620768043002
group_b_ambiguous,F8,V3,0.09892000000000001,0.0,0.0,1.3955600000000001,1.3955600000000001,-0.7563000000000031,-4.043200000000013,-1.3826280046189368
group_a_baseline,F0,V4,0.0,0.0,0.0,1.0,1.0,2.963799999999999,1.8140999999999963,-259.5908121222567
group_b_ambiguous,F3,V4,0.09956,0.09949,0.0,1.39796,1.0,1.8722000000000065,4.767799999999987,-104.2924990897194
group_b_ambiguous,F8,V4,0.09892000000000001,0.10001000000000002,0.0,1.4000400000000002,1.0,-18.962500000000002,-29.8058,-420.0500562635359
group_a_baseline,F0,V5,0.0,0.0,0.0,1.0,1.0,-0.26550000000001006,-2.4620999999999995,-261.0234833070224
group_b_ambiguous,F3,V5,0.09956,0.0,0.09977000000000001,1.09977,1.0,31.227000000000004,38.92130000000001,66.66246378298706
group_b_ambiguous,F8,V5,0.09892000000000001,0.0,0.10046000000000002,1.20092,1.0,-15.1248,-23.898699999999998,-49.515033453260685
