failure_scenario,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F1,V0,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V0,EOER,10,0.90066,0.9007499999999999,0.003806485693304685,0.8994,0.9027,0.0032999999999999696,0.8942,0.9076,0.8983007157243492,0.9030192842756508
F1,V0,LER,10,0.09934,0.09925,0.003806485693304697,0.0973,0.1006,0.0032999999999999974,0.0924,0.1058,0.09698071572434916,0.10169928427565084
F1,V0,RAF,10,0.90066,0.9007499999999999,0.003806485693304685,0.8994,0.9027,0.0032999999999999696,0.8942,0.9076,0.8983007157243492,0.9030192842756508
F1,V0,DAF,10,0.90066,0.9007499999999999,0.003806485693304685,0.8994,0.9027,0.0032999999999999696,0.8942,0.9076,0.8983007157243492,0.9030192842756508
F1,V0,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V0,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V0,P95,10,51.9865,45.936,17.87161118925767,43.498,48.655,5.157000000000004,31.293,85.96,40.909560624259065,63.063439375740934
F1,V0,P99,10,64.6787,55.2765,22.573807398300257,51.727,60.078,8.351000000000006,47.02,107.844,50.687309219244646,78.67009078075537
F1,V0,throughput,10,1672.7374480591097,1774.3231677207723,277.42410040299967,1651.876863198985,1844.1157997920793,192.23893659309442,1114.0667480012796,1940.8577349351606,1500.7882091801534,1844.686686938066
F1,V1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V1,EOER,10,0.9006800000000001,0.9004,0.002738531642241066,0.8991,0.9023,0.0031999999999999806,0.8962,0.9052,0.8989826405029512,0.9023773594970491
F1,V1,LER,10,0.09931999999999999,0.0996,0.0027385316422410687,0.0977,0.1009,0.0032000000000000084,0.0948,0.1038,0.09762264050295105,0.10101735949704893
F1,V1,RAF,10,0.9006800000000001,0.9004,0.002738531642241066,0.8991,0.9023,0.0031999999999999806,0.8962,0.9052,0.8989826405029512,0.9023773594970491
