failure_scenario,variant,failure_probability,concurrency,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,V4,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.01,10,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.01,10,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.01,10,UAR,10,0.009899999999999999,0.00955,0.0016227548592850781,0.0088,0.0101,0.001299999999999999,0.0085,0.0142,0.00889420611786841,0.010905793882131589
F3,V4,0.01,10,RAF,10,1.0396,1.0382,0.006491019437140313,1.0352,1.0404,0.0052000000000000934,1.034,1.0568,1.0355768244714738,1.0436231755285263
F3,V4,0.01,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.01,10,P95,10,12.3206,11.252500000000001,2.8948133388297537,11.001,11.302,0.30100000000000016,9.983,19.093,10.526376103859203,14.114823896140798
F3,V4,0.01,10,P99,10,17.619500000000002,16.0345,5.049537696110847,14.642,16.615000000000002,1.9730000000000025,13.346,29.743,14.489764110884472,20.749235889115532
F3,V4,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.01,50,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.01,50,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.01,50,UAR,10,0.01021,0.01,0.0010038260141412292,0.0097,0.0101,0.0003999999999999993,0.0092,0.0128,0.009587822190473924,0.010832177809526077
F3,V4,0.01,50,RAF,10,1.04084,1.04,0.0040153040565648855,1.0388,1.0404,0.0016000000000000458,1.0368,1.0512,1.0383512887618958,1.0433287112381042
F3,V4,0.01,50,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.01,50,P95,10,48.6814,48.611999999999995,5.99654111782599,45.141,51.604,6.463000000000001,40.726,61.252,44.964705309024275,52.39809469097572
F3,V4,0.01,50,P99,10,71.6064,71.9825,13.644974917122012,58.84,84.355,25.515,53.862,91.074,63.14915692662132,80.06364307337867
F3,V4,0.05,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.05,10,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.05,10,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.05,10,UAR,10,0.050530000000000005,0.0509,0.002160272616541203,0.0491,0.0523,0.0032000000000000015,0.0463,0.0533,0.0491910491603083,0.05186895083969171
F3,V4,0.05,10,RAF,10,1.2021199999999999,1.2036,0.008641090466164843,1.1964,1.2092,0.012800000000000145,1.1852,1.2132,1.196764196641233,1.2074758033587667
F3,V4,0.05,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.05,10,P95,10,16.029200000000003,16.942,2.713370998919569,14.392,17.514000000000003,3.1220000000000034,11.655,20.538,14.34743523124811,17.710964768751897
F3,V4,0.05,10,P99,10,24.3646,22.6905,2.662256736930783,22.354,27.281000000000002,4.927000000000003,22.071,29.143000000000004,22.71451617905352,26.01468382094648
F3,V4,0.05,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.05,50,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.05,50,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.05,50,UAR,10,0.04859000000000001,0.0484,0.0019930155822549685,0.0468,0.0501,0.0032999999999999974,0.0464,0.0522,0.04735471614418207,0.04982528385581795
F3,V4,0.05,50,RAF,10,1.19436,1.1936,0.007972062329019914,1.1872,1.2004,0.013199999999999878,1.1856,1.2088,1.1894188645767283,1.1993011354232719
F3,V4,0.05,50,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.05,50,P95,10,48.964400000000005,46.0685,12.011741452058946,43.118,57.583000000000006,14.465000000000003,31.262,74.254,41.51944551590137,56.40935448409864
F3,V4,0.05,50,P99,10,99.6806,102.616,19.500963367656137,89.616,110.25399999999999,20.63799999999999,58.01,129.789,87.59377768137702,111.76742231862298
F3,V4,0.1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.1,10,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.1,10,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.1,10,UAR,10,0.10013999999999998,0.09985,0.003316356769441763,0.0972,0.1018,0.004600000000000007,0.0955,0.1055,0.09808450077866983,0.10219549922133013
F3,V4,0.1,10,RAF,10,1.40056,1.3994,0.013265427077767062,1.3888,1.4072,0.018399999999999972,1.382,1.422,1.3923380031146795,1.4087819968853206
F3,V4,0.1,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.1,10,P95,10,23.106900000000003,22.2915,2.222953613251221,21.474,24.101000000000003,2.6270000000000024,21.129,27.821999999999996,21.72909907604812,24.484700923951888
F3,V4,0.1,10,P99,10,27.2464,26.0245,2.9999265620641076,24.843,28.913999999999998,4.070999999999998,24.372999999999998,33.175,25.387026253125235,29.105773746874767
F3,V4,0.1,50,DER,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.1,50,EOER,70,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.1,50,RSR,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.1,50,UAR,70,0.09982571428571425,0.1002,0.002767392206993652,0.0983,0.1019,0.003600000000000006,0.0933,0.105,0.09917741168326087,0.10047401688816764
F3,V4,0.1,50,RAF,70,1.3993028571428574,1.4008,0.011069568827974597,1.3932,1.4076,0.014399999999999968,1.3732,1.42,1.396709646733044,1.4018960675526708
F3,V4,0.1,50,DAF,70,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.1,50,P95,70,64.84385714285713,56.6845,23.29142485002825,45.272,81.995,36.723000000000006,33.875,145.594,59.38749598560563,70.30021830010863
F3,V4,0.1,50,P99,70,97.1719285714286,80.9345,41.421516425232895,66.501,120.356,53.85499999999999,49.537,209.30800000000002,87.46832500263183,106.87553214022536
F3,V4,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.2,10,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.2,10,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.2,10,UAR,10,0.20057,0.2019,0.003220438203447199,0.1989,0.2024,0.003500000000000003,0.1941,0.2038,0.1985739517218041,0.2025660482781959
F3,V4,0.2,10,RAF,10,1.80228,1.8075999999999999,0.012881752813788777,1.7956,1.8096,0.014000000000000012,1.7764,1.8152,1.7942958068872163,1.8102641931127839
F3,V4,0.2,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.2,10,P95,10,27.6051,26.8585,2.758784694188528,25.76,27.237000000000002,1.4770000000000003,25.197000000000003,33.032000000000004,25.89518753130122,29.31501246869878
F3,V4,0.2,10,P99,10,31.3462,30.173,3.508765873573722,29.19,30.843,1.6529999999999987,28.196999999999996,38.05800000000001,29.17144438039438,33.52095561960562
F3,V4,0.2,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.2,50,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.2,50,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V4,0.2,50,UAR,10,0.20068999999999998,0.2025,0.004247208233390234,0.1976,0.2035,0.005899999999999989,0.1941,0.2067,0.19805755306395148,0.20332244693604848
F3,V4,0.2,50,RAF,10,1.80276,1.81,0.016988832933560932,1.7904,1.814,0.023600000000000065,1.7764,1.8268,1.792230212255806,1.8132897877441938
F3,V4,0.2,50,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V4,0.2,50,P95,10,27.354000000000003,27.35,1.8072746824370052,26.694000000000003,29.057000000000002,2.3629999999999995,23.408,29.781000000000002,26.23383954660455,28.474160453395456
F3,V4,0.2,50,P99,10,33.345600000000005,32.838499999999996,2.7283678963398224,32.323,35.645,3.3220000000000027,28.537,37.263000000000005,31.654540057926067,35.036659942073946
F3,V5,0.01,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.01,10,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.01,10,RSR,10,0.009729999999999999,0.0095,0.0010078028907810625,0.009,0.0103,0.0013000000000000008,0.0085,0.0115,0.009105357296795466,0.010354642703204532
F3,V5,0.01,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.01,10,RAF,10,1.0097299999999998,1.0095,0.0010078028907810732,1.009,1.0103,0.0013000000000000789,1.0085,1.0115,1.0091053572967952,1.0103546427032044
F3,V5,0.01,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.01,10,P95,10,13.6534,12.559999999999999,2.5196798385685613,12.39,14.235,1.8449999999999989,11.102,18.355,12.091686256200722,15.215113743799277
F3,V5,0.01,10,P99,10,17.632600000000004,16.594500000000004,3.429538718577503,15.865,18.529,2.6639999999999997,13.76,24.366,15.506949879809738,19.75825012019027
F3,V5,0.01,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.01,50,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.01,50,RSR,10,0.010409999999999999,0.0105,0.0014137813755237326,0.0098,0.0113,0.0014999999999999996,0.0078,0.0124,0.009533729225004558,0.01128627077499544
F3,V5,0.01,50,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.01,50,RAF,10,1.0104099999999998,1.0105,0.0014137813755237304,1.0098,1.0113,0.0015000000000000568,1.0078,1.0124,1.0095337292250044,1.0112862707749952
F3,V5,0.01,50,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.01,50,P95,10,48.4672,52.69,12.415623086346582,42.302,55.116,12.814,18.908,62.682,40.77191708548718,56.162482914512815
F3,V5,0.01,50,P99,10,62.05440000000001,66.5485,14.697414384850145,58.325,69.321,10.995999999999995,25.027,78.847,52.944848186396,71.16395181360402
F3,V5,0.05,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.05,10,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.05,10,RSR,10,0.049120000000000004,0.0487,0.002548550786449254,0.0479,0.0516,0.003700000000000002,0.0444,0.0522,0.04754039185731257,0.05069960814268744
F3,V5,0.05,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
